2022-05-09 14:51:13.775738 CLASS: MAIN, METHOD: main() LOG: asistente
2022-05-11 14:50:34.226935 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:50:34.229830 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:50:34.233169 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 14:50:34.236821 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 14:50:34.240118 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 14:50:34.243087 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 14:50:34.245907 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 14:50:34.248971 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 14:50:34.252345 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 14:51:34.314690 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 14:51:34.473664 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 14:51:34.476817 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 14:51:34.479860 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 14:51:34.482887 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:51:34.485828 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:51:34.488979 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 14:51:34.491862 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 14:51:34.494995 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 14:51:34.497921 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 14:51:34.500683 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 14:51:34.504088 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 14:51:34.506956 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 14:52:34.564049 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 14:52:34.746012 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 14:52:34.749178 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 14:52:34.752128 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 14:52:34.755039 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:52:34.757976 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:52:34.761194 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 14:52:34.764351 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 14:52:34.767607 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 14:52:34.771007 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 14:52:34.773943 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 14:52:34.776763 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 14:52:34.779680 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 14:53:34.844078 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 14:53:34.987174 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 14:53:34.990252 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 14:53:34.993338 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 14:53:34.996426 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:53:34.999403 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:53:35.003247 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 14:53:35.006251 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 14:53:35.009620 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 14:53:35.012739 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 14:53:35.015540 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 14:53:35.018773 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 14:53:35.021759 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 14:54:35.084041 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 14:54:35.232624 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 14:54:35.235968 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 14:54:35.238859 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 14:54:35.241707 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:54:35.244728 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:54:35.247993 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 14:54:35.251016 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 14:54:35.254359 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 14:54:35.257737 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 14:54:35.260795 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 14:54:35.263743 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 14:54:35.266592 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 14:55:35.324632 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 14:55:35.479174 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 14:55:35.482353 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 14:55:35.485274 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 14:55:35.488218 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:55:35.491231 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:55:35.494490 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 14:55:35.498126 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 14:55:35.501506 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 14:55:35.504349 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 14:55:35.507220 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 14:55:35.510040 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 14:55:35.513452 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 14:56:35.578403 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 14:56:35.754129 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 14:56:35.757204 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 14:56:35.760128 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 14:56:35.762942 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:56:35.765808 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:56:35.769052 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 14:56:35.772061 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 14:56:35.775208 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 14:56:35.778283 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 14:56:35.781017 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 14:56:35.783759 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 14:56:35.787035 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 14:57:35.845792 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 14:57:36.128288 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 14:57:36.131443 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 14:57:36.134398 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 14:57:36.137271 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:57:36.140221 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:57:36.143488 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 14:57:36.146595 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 14:57:36.149823 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 14:57:36.152834 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 14:57:36.155629 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 14:57:36.158373 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 14:57:36.161774 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 14:58:36.224095 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 14:58:36.367480 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 14:58:36.370649 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 14:58:36.373578 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 14:58:36.376395 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:58:36.379299 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:58:36.382736 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 14:58:36.385638 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 14:58:36.389597 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 14:58:36.392593 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 14:58:36.395451 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 14:58:36.398404 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 14:58:36.401444 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 14:59:36.465431 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 14:59:36.613398 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: EVENTO: Prueba
2022-05-11 14:59:36.616525 CLASS: CALENDAR_CHECK, METHOD: FORMAT_CALENDAR_DATE LOG: FORMATEANDO LA FECHA DE GOOGLE: 2022-05-11T14:00:00+02:00, A: 2022-05-11 14:00:00
2022-05-11 14:59:36.619426 CLASS: CALENDAR_CHECK, METHOD: FORMAT_REMINDER_DATE LOG: OBTENIENDO LA HORA DEL RECORDATORIO: 2022-05-11 13:43:00
2022-05-11 14:59:36.622257 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: COMPROBANDO SI LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:59:36.625140 CLASS: CALENDAR_CHECK, METHOD: CHECK_IF_ADDED LOG: LA NOTIFICACION YA ESTABA DESCARGADA
2022-05-11 14:59:36.628443 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 14:59:36.631384 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 14:59:36.634718 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 14:59:36.638155 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 14:59:36.640917 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 14:59:36.643655 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 14:59:36.646446 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 15:00:36.704062 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 15:00:36.847360 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: NO HAY EVENTOS ENCONTRADOS
2022-05-11 15:00:36.850858 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 15:00:36.854161 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 15:00:36.857561 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 15:00:36.860490 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 15:00:36.863609 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 15:00:36.866384 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 15:00:36.869101 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 15:01:36.924029 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 15:01:37.074742 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: NO HAY EVENTOS ENCONTRADOS
2022-05-11 15:01:37.078224 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 15:01:37.081861 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 15:01:37.085024 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 15:01:37.088039 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 15:01:37.090907 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 15:01:37.093733 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 15:01:37.096558 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 15:02:37.154007 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 15:02:37.324407 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: NO HAY EVENTOS ENCONTRADOS
2022-05-11 15:02:37.327944 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 15:02:37.330998 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 15:02:37.334063 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 15:02:37.337038 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 15:02:37.340050 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 15:02:37.343086 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 15:02:37.345895 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 15:03:37.404641 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 15:03:37.565250 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: NO HAY EVENTOS ENCONTRADOS
2022-05-11 15:03:37.568697 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 15:03:37.571796 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 15:03:37.574990 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 15:03:37.577965 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 15:03:37.581047 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 15:03:37.584489 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 15:03:37.587549 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 15:04:37.650476 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
